true_node,defect_type,true_rank,observability_tier,nearest_monitor_hop,in_top1,in_top3,in_top5,in_top10,in_top20
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
